fabricante,modelo,ano_fabricacao,categoria,couro_interior,tipo_combustivel,km_rodados,cilindradas,tipo_transmissao,tracao_rodas,qtd_portas,posicao_volante,cor,airbags,volume_motor,tipo_motor,preco_total
LEXUS,RX 450,2010,Jeep,1,Hybrid,186005,6,Automatic,4x4,4_portas,Left wheel,Silver,12,3.5,Comum,14727
CHEVROLET,EQUINOX,2011,Jeep,0,Petrol,192000,6,Tiptronic,4x4,4_portas,Left wheel,Black,8,3.0,Comum,17639
HONDA,FIT,2006,Hatchback,0,Petrol,200000,4,Variator,Front,4_portas,Right-hand drive,Black,2,1.3,Comum,8467
FORD,ESCAPE,2011,Jeep,1,Hybrid,168966,4,Automatic,4x4,4_portas,Left wheel,White,0,2.5,Comum,4469
HONDA,FIT,2014,Hatchback,1,Petrol,91901,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.3,Comum,12172
TOYOTA,PRIUS,2010,Hatchback,1,Hybrid,258909,4,Automatic,Front,4_portas,Left wheel,White,12,1.8,Comum,2564
LEXUS,RX 350,2007,Jeep,1,Petrol,128500,6,Automatic,4x4,4_portas,Left wheel,Silver,12,3.5,Comum,26657
MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,184467,6,Automatic,Rear,4_portas,Left wheel,White,12,3.5,Comum,1994
FORD,TRANSIT,1999,Microbus,0,CNG,0,8,Manual,Rear,2_portas,Left wheel,Blue,0,4.0,Comum,8781
OPEL,VECTRA,1997,Goods wagon,0,CNG,350000,4,Manual,Front,4_portas,Left wheel,White,4,1.6,Comum,3000
LEXUS,RX 450,2013,Jeep,1,Hybrid,138038,6,Automatic,Front,4_portas,Left wheel,White,12,3.5,Comum,2074
TOYOTA,CHR,2018,Jeep,1,Petrol,74146,4,Automatic,Front,4_portas,Left wheel,White,12,2.0,Comum,1628
HYUNDAI,ELANTRA,2016,Sedan,1,Petrol,121840,4,Automatic,Front,4_portas,Left wheel,Blue,12,1.8,Comum,8493
HYUNDAI,ELANTRA,2016,Sedan,1,Petrol,54317,4,Automatic,Front,4_portas,Left wheel,White,4,1.8,Comum,29192
HYUNDAI,SONATA,2006,Sedan,1,Petrol,295059,6,Automatic,Rear,4_portas,Left wheel,Blue,12,3.3,Comum,2935
LEXUS,RX 400,2008,Jeep,1,Hybrid,364523,6,Automatic,4x4,4_portas,Left wheel,Black,12,3.5,Comum,2791
HYUNDAI,ELANTRA,2012,Sedan,1,Petrol,112645,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,19357
TOYOTA,PRIUS,2012,Sedan,1,Plug-in Hybrid,187000,4,Automatic,Front,4_portas,Left wheel,White,12,1.8,Comum,21284
TOYOTA,CAMRY,2017,Sedan,1,Petrol,39709,4,Automatic,Front,4_portas,Left wheel,Black,12,2.5,Comum,18811
FORD,TRANSIT,2001,Microbus,0,Diesel,230000,4,Manual,Front,2_portas,Left wheel,White,0,2.0,Turbo,7840
OPEL,VECTRA,1995,Sedan,0,Petrol,0,4,Automatic,Front,4_portas,Left wheel,Green,4,1.8,Comum,4704
MERCEDES-BENZ,E 220,2006,Sedan,1,Diesel,210000,4,Tiptronic,Rear,4_portas,Left wheel,Black,8,2.2,Turbo,20385
LEXUS,GX 470,2008,Jeep,1,Petrol,0,8,Automatic,4x4,4_portas,Left wheel,White,0,4.7,Comum,3004
HYUNDAI,ELANTRA,2011,Sedan,1,Petrol,158787,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,15037
TOYOTA,HIGHLANDER,2009,Jeep,1,Hybrid,420550,6,Automatic,4x4,4_portas,Left wheel,Blue,12,3.3,Comum,13611
MERCEDES-BENZ,VITO,2007,Goods wagon,0,Diesel,180000,6,Manual,Rear,4_portas,Left wheel,White,4,2.0,Turbo,16969
PORSCHE,CAYENNE,2014,Jeep,1,Diesel,175056,6,Automatic,4x4,4_portas,Left wheel,White,12,3.0,Comum,20359
BMW,X5,2000,Jeep,1,CNG,200000,8,Automatic,4x4,4_portas,Left wheel,Silver,6,4.4,Comum,6899
TOYOTA,HIGHLANDER,2008,Sedan,1,Hybrid,287274,6,Automatic,4x4,4_portas,Left wheel,White,12,3.3,Comum,1875
JEEP,GRAND CHEROKEE,2007,Jeep,1,Diesel,250000,6,Tiptronic,4x4,4_portas,Left wheel,Black,10,3.0,Turbo,24462
HYUNDAI,SANTA FE,2011,Jeep,1,Diesel,162000,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,23942
HONDA,FIT,2010,Hatchback,0,Hybrid,158000,4,Automatic,Front,4_portas,Right-hand drive,Black,4,1.3,Comum,9013
HYUNDAI,ELANTRA,2012,Sedan,1,Petrol,103490,4,Automatic,Front,4_portas,Left wheel,Silver,4,1.6,Comum,19652
LEXUS,RX 450,2010,Jeep,1,Hybrid,382746,6,Automatic,4x4,4_portas,Left wheel,Silver,12,3.5,Comum,1713
TOYOTA,CAMRY,2013,Sedan,1,Petrol,203200,4,Automatic,Front,4_portas,Left wheel,Blue,4,2.4,Comum,25213
VOLKSWAGEN,JETTA,2016,Sedan,1,Petrol,11200,4,Tiptronic,Front,4_portas,Left wheel,Black,8,1.4,Turbo,20815
HYUNDAI,SONATA,2014,Sedan,1,Hybrid,141000,4,Tiptronic,Front,4_portas,Left wheel,White,12,2.4,Comum,21708
PORSCHE,CAYENNE,2010,Jeep,1,Petrol,160259,6,Automatic,4x4,4_portas,Left wheel,Silver,12,3.6,Comum,1985
TOYOTA,PRIUS C,2012,Hatchback,0,Hybrid,128000,4,Variator,Front,4_portas,Left wheel,Sky blue,8,1.5,Comum,16184
TOYOTA,AQUA,2012,Hatchback,0,Hybrid,141500,4,Automatic,Front,4_portas,Right-hand drive,Black,8,1.5,Comum,12544
FORD,ESCAPE HYBRID,2008,Jeep,0,Hybrid,147000,4,Variator,4x4,4_portas,Left wheel,White,8,2.3,Comum,17249
HONDA,CIVIC,2016,Sedan,1,Petrol,87768,4,Automatic,Front,4_portas,Left wheel,Blue,4,2.0,Comum,35780
AUDI,Q7,2015,Jeep,1,Petrol,264014,6,Automatic,4x4,4_portas,Left wheel,Black,0,3.0,Comum,1966
RENAULT,MEGANE 1.5CDI,2008,Sedan,0,Diesel,132542,4,Manual,Front,4_portas,Left wheel,White,10,1.5,Turbo,14583
AUDI,Q5,2014,Jeep,1,Petrol,87000,1,Tiptronic,4x4,4_portas,Left wheel,White,12,2.0,Comum,39139
MERCEDES-BENZ,C 180,2001,Coupe,0,Petrol,260000,4,Manual,Rear,2_portas,Left wheel,Blue,0,2.0,Comum,8781
NISSAN,JUKE,2015,Jeep,1,Petrol,87112,4,Automatic,4x4,4_portas,Left wheel,Black,0,1.6,Comum,2040
CHEVROLET,CRUZE LT,2018,Sedan,0,Petrol,22000,4,Automatic,Front,4_portas,Left wheel,Red,6,1.4,Turbo,24302
FORD,FUSION,2013,Sedan,0,Petrol,83000,4,Tiptronic,Front,4_portas,Left wheel,Silver,8,1.6,Turbo,17465
TOYOTA,VOXY,2007,Minivan,1,Petrol,170000,4,Automatic,Front,4_portas,Right-hand drive,Black,6,2.4,Comum,10349
NISSAN,JUKE,2013,Jeep,1,Petrol,312118,4,Automatic,Front,4_portas,Left wheel,Black,0,1.6,Comum,7743
MERCEDES-BENZ,A 160,2004,Sedan,0,Petrol,130000,4,Tiptronic,Front,4_portas,Left wheel,Black,6,1.6,Comum,5331
HYUNDAI,TUCSON,2013,Jeep,1,Diesel,200279,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,21166
HYUNDAI,SONATA,2015,Sedan,1,LPG,719847,4,Automatic,Front,4_portas,Left wheel,Orange,4,2.0,Comum,10487
HYUNDAI,H1,2014,Minivan,1,Diesel,154672,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.5,Comum,35434
HYUNDAI,H1,2016,Minivan,1,Diesel,110969,4,Automatic,Front,4_portas,Left wheel,Black,4,2.5,Comum,37655
TOYOTA,VITZ,2001,Hatchback,0,Petrol,210000,4,Manual,Front,4_portas,Right-hand drive,Sky blue,3,1.5,Comum,5488
HYUNDAI,H1,2015,Universal,1,Diesel,148105,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.5,Comum,30997
CHEVROLET,CAPTIVA,2011,Jeep,1,Diesel,255456,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.2,Comum,16569
TOYOTA,PRIUS,2011,Hatchback,0,Hybrid,288000,4,Automatic,Front,4_portas,Left wheel,White,8,1.8,Comum,15385
MERCEDES-BENZ,ML 350,2014,Jeep,1,Petrol,94362,6,Automatic,Rear,4_portas,Left wheel,White,12,3.5,Comum,4816
TOYOTA,PRIUS,2012,Sedan,0,Petrol,175000,4,Automatic,Front,4_portas,Left wheel,Silver,8,1.8,Comum,18189
LEXUS,GX 470,2008,Jeep,1,Petrol,263190,8,Automatic,4x4,4_portas,Left wheel,White,0,4.7,Comum,3317
TOYOTA,HIGHLANDER,2010,Jeep,1,Hybrid,264877,6,Automatic,4x4,4_portas,Left wheel,White,12,3.3,Comum,6969
TOYOTA,YARIS,2019,Sedan,1,Petrol,27656,4,Automatic,Front,4_portas,Left wheel,White,12,1.5,Comum,8357
HONDA,CIVIC,2014,Sedan,0,Hybrid,16000,8,Automatic,4x4,4_portas,Right-hand drive,White,10,1.4,Comum,23140
HONDA,CR-V,1998,Jeep,0,Petrol,0,4,Automatic,4x4,4_portas,Right-hand drive,White,2,2.0,Comum,8154
TOYOTA,CAMRY,2012,Sedan,0,Petrol,195053,4,Automatic,Front,4_portas,Left wheel,Black,0,2.5,Comum,22734
HYUNDAI,ELANTRA,2012,Sedan,1,Petrol,121362,4,Automatic,Front,4_portas,Left wheel,Black,4,1.6,Comum,19652
HYUNDAI,SANTA FE,2014,Jeep,1,Diesel,69191,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,36704
HONDA,FIT,2012,Hatchback,1,Hybrid,83000,4,Tiptronic,Front,4_portas,Right-hand drive,Green,12,1.3,Comum,9892
CHEVROLET,CRUZE,2010,Sedan,1,Petrol,40772,4,Automatic,Front,4_portas,Left wheel,Black,4,1.8,Comum,7007
CHEVROLET,ORLANDO,2012,Jeep,1,Diesel,172000,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,16931
BMW,520 VANOS,1995,Sedan,1,Petrol,350000,6,Manual,Rear,4_portas,Left wheel,Blue,2,2.0,Comum,2822
DAEWOO,LACETTI,2008,Sedan,1,Petrol,103246,4,Automatic,Front,4_portas,Left wheel,Black,4,2.0,Comum,8076
HYUNDAI,ELANTRA,2016,Sedan,0,Petrol,105394,4,Tiptronic,Front,4_portas,Left wheel,Black,12,2.0,Comum,28175
BMW,428 SPORT LINE,2013,Coupe,1,Petrol,160000,4,Automatic,Rear,2_portas,Left wheel,Black,12,2.0,Turbo,32929
